N£mero do Contrato;Data de Assinatura;Valor de Financiamento;Taxa de Juros;Prazo de Carˆncia;Nome do Mutu rio;CPF;N£mero de Identidade;Data de Nascimento;Estado Civil;Sexo;UF;Mun¡cipio;Endere‡o;cep
120093;27/10/2021;36313.23;50.000;30;ANDRE ;11908700336;3769424;17/03/1980;divorciado;F;BA;RIBEIRA DO POMBAL;AV RUA VIA FERREA, 0;48055861
182540;08/10/2022;57370.00;45.000;25;ADRIANA ;12099582728;9555255;03/12/1960;divorciado;F;PR;TELEMACO BORBA;AV RUA VIA FERREA SN, 0;59689643
147501;15/10/2022;72000.00;50.000;18;WESLEY ;11561003176;9541760;03/06/1991;solteiro;M;AL;MARIBONDO;AV RUA VIA FERREA S N, 0;37242489
101461;16/09/2022;81307.98;71.600;42;ADRIANA ;11914237412;4225619;31/10/1951;divorciado;M;GO;GOIANIA;AV RUA VIA FERREA S/N BL 0;12177967
179656;16/10/2021;43913.00;50.000;39;FERNANDO ;10711782177;4133286;20/05/1972;divorciado;F;RJ;RIO DE JANEIRO;AV RUA VIA FERREA S/N BL 0;44256891
132600;12/01/2022;59488.00;50.000;1;KELEN ;11976456136;3204007;02/07/1964;solteiro;F;MT;AGUA BOA;AV RUA VIA FERREA SN, 0;85806605
186929;29/12/2023;72000.00;55.000;21;FABIO ;12125263506;1971212;26/05/1993;divorciado;F;GO;LUZIANIA;AV RUA VIA FERREA SN, 0;82507714
185585;16/05/2023;93523.46;45.000;16;MAYRA ;11201386082;7072470;31/03/1977;solteiro;M;RJ;MARICA;AV RUA VIA FERREA SN BL 0;20168895
106373;18/11/2022;140000.00;66.600;10;LUCAS ;12097001017;8427532;05/05/1971;casado;F;SP;SAO PAULO;AV RUA VIA FERREA S/N BL 0;24775533
128345;16/07/2022;99000.00;45.000;14;BRUNA ;11457080949;2848802;17/02/1993;solteiro;F;SC;CRICIUMA;AV RUA VIA FERREA SN, 0;49376624
133256;11/07/2023;70350.00;45.000;10;MAXIMIANA ;10416721810;6665738;17/02/1979;solteiro;M;MA;TIMON;AV RUA VIA FERREA SN, 0;36338830
165621;19/09/2022;72341.88;60.000;45;JACKSON ;11643793169;3317946;10/02/1981;solteiro;F;PA;ANANINDEUA;AV RUA VIA FERREA S/N BL 8;69485159
199146;11/02/2024;115000.00;66.600;40;FERNANDA ;10582079190;9044895;22/09/1966;solteiro;F;GO;ANAPOLIS;AV RUA VIA FERREA S N, BLOCO 2;62362457
169447;16/04/2024;66625.00;45.000;13;MARCIA ;11987154754;6893559;20/07/1977;solteiro;M;PR;CASTRO;AV RUA VIA FERREA SN ACESSO PELA RUA QUIRI, 0;41790224
179645;11/03/2024;78089.53;45.000;41;STEFANI ;12144574784;5517949;27/04/1990;solteiro;F;SP;IRAPUA;AV RUA VIA FERREA SN BL 0;33392618
110561;20/04/2023;108000.00;60.000;43;JANAINA ;10316873627;6089411;31/10/1996;solteiro;F;PE;PAULISTA;AV RUA VIA FERREA SN BL 0;88756216
125222;25/03/2021;28000.00;45.000;37;RAPHAEL ;12028459796;9279917;25/02/1975;solteiro;M;RN;CEARA-MIRIM;AV RUA VIA FERREA SN ACESSO PELA RUA QUIR, 0;91637578
173094;06/11/2022;112499.82;66.600;37;DANIELA ;11483883362;8392409;27/04/1955;solteiro;F;PR;ARAUCARIA;AV RUA VIA FERREA S N BL 0;62019923
178556;02/07/2021;42371.13;50.000;27;ALINE ;10513946519;4484166;26/06/1981;solteiro;M;ES;MONTANHA;AV RUA VIA FERREA S N BL 0;93431295
